trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.75, 'e': 0.02332429820904791}",25,11,24.494514041669028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.75, 'e': 0.02263254894454081}",30,18,24.81720556180536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.021961084043658152}",25,11,24.942516317067216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.75, 'e': 0.021309322338360137}",20,6,21.40948346066639,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.75, 'e': 0.02067669850474807}",25,13,21.43697716587767,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.020062662679492194}",20,8,25.659442173095993,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.75, 'e': 0.019466680082539156}",30,12,31.198312570468637,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.75, 'e': 0.018888230646204263}",25,12,25.25780216136613,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.75, 'e': 0.018326808650731996}",25,16,16.654456130014246,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.75, 'e': 0.017781922366393532}",25,0,17.858889986981296,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
183,False,"{'a': 0.75, 'e': 0.017253093702170208}",30,18,25.579339774693143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.75, 'e': 0.01673985786106047}",25,0,39.95503742342387,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.75, 'e': 0.01624176300203184}",20,0,31.554807289635953,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.75, 'e': 0.015758369908626446}",30,8,37.183416787008305,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.75, 'e': 0.015289251664218462}",25,19,11.767030876862922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.75, 'e': 0.014833993333910556}",25,13,19.50942239932035,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.75, 'e': 0.01439219165304384}",25,8,27.512571779094205,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.75, 'e': 0.013963454722292323}",25,7,34.652474966540005,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.75, 'e': 0.013547401709298468}",25,13,20.824507002999763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.75, 'e': 0.01314366255680377}",30,9,35.842015621210656,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
